date,rate
21.06.2019,21.92
14.06.2019,21.89
7.06.2019,21.19
31.05.2019,21.86
24.05.2019,20.85
17.05.2019,19.83
10.05.2019,19.85
3.05.2019,19.87
26.04.2019,19.35
19.04.2019,17.22
12.04.2019,17.15
5.04.2019,17.12
29.03.2019,17.1
22.03.2019,17.15
15.03.2019,17.28
8.03.2019,18.55
1.03.2019,20.71
22.02.2019,21.47
15.02.2019,22.26
8.02.2019,23.55
1.02.2019,24.65
25.01.2019,24.93
18.01.2019,25.79
11.01.2019,26.46
4.01.2019,27.7
28.12.2018,27.39
21.12.2018,28.04
14.12.2018,27.84
7.12.2018,28.02
30.11.2018,28.38
23.11.2018,28.55
16.11.2018,28.77
9.11.2018,28.4
2.11.2018,29.05
26.10.2018,29.28
19.10.2018,29.01
12.10.2018,28.59
5.10.2018,29.06
28.09.2018,28
21.09.2018,25.7
14.09.2018,24.25
7.09.2018,22.79
31.08.2018,23.2
24.08.2018,11.64
17.08.2018,20.25
10.08.2018,20.02
3.08.2018,19.98
27.07.2018,19.48
20.07.2018,18.78
13.07.2018,15.79
6.07.2018,13.46
29.06.2018,13.14
22.06.2018,13.12
15.06.2018,13.16
8.06.2018,13.08
1.06.2018,13.02
25.05.2018,13.02
18.05.2018,13.16
11.05.2018,14.93
4.05.2018,14.57
27.04.2018,14.92
20.04.2018,14.94
13.04.2018,14.68
6.04.2018,14.97
30.03.2018,14.96
23.03.2018,14.63
16.03.2018,14.87
9.03.2018,14.85
2.03.2018,14.64
23.02.2018,14.7
16.02.2018,14.8
9.02.2018,14.68
2.02.2018,14.55
26.01.2018,14.08
19.01.2018,14.3
12.01.2018,13.89
5.01.2018,14.29
29.12.2017,13.78
22.12.2017,13.83
15.12.2017,13.62
8.12.2017,13.14
1.12.2017,13.25
24.11.2017,13.14
17.11.2017,13.16
10.11.2017,13.11
3.11.2017,13.06
27.10.2017,13.01
20.10.2017,13.09
13.10.2017,13.04
6.10.2017,13.04
29.09.2017,12.88
22.09.2017,12.94
15.09.2017,12.89
8.09.2017,12.67
1.09.2017,12.96
25.08.2017,12.69
18.08.2017,12.7
11.08.2017,12.49
4.08.2017,12.08
28.07.2017,12.12
21.07.2017,12.17
14.07.2017,12.02
7.07.2017,11.75
30.06.2017,11.78
23.06.2017,11.72
16.06.2017,11.77
9.06.2017,11.7
2.06.2017,11.63
26.05.2017,11.71
19.05.2017,11.57
12.05.2017,11.5
5.05.2017,11.4
28.04.2017,11.45
21.04.2017,11.31
14.04.2017,11.32
7.04.2017,11.02
31.03.2017,10.95
24.03.2017,11.11
17.03.2017,11.13
10.03.2017,11.09
3.03.2017,11
24.02.2017,11.28
17.02.2017,11.41
10.02.2017,11.41
3.02.2017,11.41
27.01.2017,11.46
20.01.2017,11.47
13.01.2017,11.45
6.01.2017,11.43
30.12.2016,11.43
23.12.2016,11.43
16.12.2016,11.4
9.12.2016,11.42
2.12.2016,11.44
25.11.2016,11.48
18.11.2016,11.58
11.11.2016,11.71
4.11.2016,12
28.10.2016,12.09
21.10.2016,12.1
14.10.2016,12.12
7.10.2016,12.15
30.09.2016,12.05
23.09.2016,12.07
16.09.2016,12.27
9.09.2016,12.02
2.09.2016,12.03
26.08.2016,12.07
19.08.2016,12.26
12.08.2016,13.31
5.08.2016,13.79
29.07.2016,13.72
22.07.2016,13.63
15.07.2016,13.64
8.07.2016,13.61
1.07.2016,13.74
24.06.2016,13.79
17.06.2016,13.85
10.06.2016,13.77
3.06.2016,13.93
27.05.2016,13.93
20.05.2016,13.91
13.05.2016,13.95
6.05.2016,14.04
29.04.2016,14.13
22.04.2016,14.27
15.04.2016,14.33
8.04.2016,14.46
1.04.2016,14.44
25.03.2016,14.44
18.03.2016,14.46
11.03.2016,14.45
4.03.2016,14.46
26.02.2016,14.43
19.02.2016,14.38
12.02.2016,14.5
5.02.2016,14.47
29.01.2016,14.41
22.01.2016,14.34
15.01.2016,14.29
8.01.2016,14.24
1.01.2016,14.08
25.12.2015,14.07
18.12.2015,14
11.12.2015,13.97
4.12.2015,13.98
27.11.2015,13.86
20.11.2015,14.11
13.11.2015,14.24
6.11.2015,14.29
30.10.2015,14.41
23.10.2015,14.41
16.10.2015,14.35
9.10.2015,14.26
2.10.2015,14.08
25.09.2015,13.74
18.09.2015,13.81
11.09.2015,13.44
4.09.2015,13.3
28.08.2015,12.93
21.08.2015,12.57
14.08.2015,12.42
7.08.2015,12.42
31.07.2015,12.33
24.07.2015,12.33
17.07.2015,12.29
10.07.2015,12.27
3.07.2015,12.18
26.06.2015,12.14
19.06.2015,11.98
12.06.2015,11.71
5.06.2015,11.63
29.05.2015,11.6
22.05.2015,11.63
15.05.2015,11.58
8.05.2015,11.46
1.05.2015,11.18
24.04.2015,10.98
17.04.2015,10.96
10.04.2015,10.96
3.04.2015,10.96
27.03.2015,10.95
20.03.2015,10.81
13.03.2015,10.75
6.03.2015,10.76
27.02.2015,10.75
20.02.2015,10.79
13.02.2015,10.8
6.02.2015,10.85
30.01.2015,10.91
23.01.2015,11.02
16.01.2015,11.05
9.01.2015,11.08
2.01.2015,10.97